frame,timestamp,target_id,pred_x,pred_y,radius,confidence,lost_frames,predicted_only,gt_x,gt_y,error_px,detection_count,track_count,hypothesis_count,recovery_active,collective_promoted,collective_dx,collective_dy,collective_rotation_deg
399,13.299509,26,384.649,232.455,39.763,1.0000,0,0,362.055,211.566,30.770,32,65,1,0,0,2.6882,2.8085,1.1332
400,13.332841,26,387.211,233.148,40.478,1.0000,0,0,366.544,211.676,29.803,37,65,1,0,0,2.7823,2.6765,0.1198
401,13.366173,26,389.811,234.698,39.923,1.0000,0,0,372.813,215.796,25.420,35,66,1,0,0,2.9590,2.6169,-5.7938
402,13.399506,26,393.228,236.071,39.615,1.0000,0,0,376.864,217.626,24.658,36,66,1,0,0,3.3878,2.3669,-2.9997
403,13.432838,26,396.729,237.842,38.988,1.0000,0,0,381.147,218.595,24.763,39,65,1,0,0,3.6710,2.3263,-1.0423
404,13.466170,26,399.850,239.822,38.713,1.0000,0,0,385.113,220.282,24.474,36,64,1,0,0,3.3304,2.2074,-0.5679
405,13.499502,26,402.837,241.779,38.854,1.0000,0,0,390.166,223.477,22.260,43,66,1,0,0,3.4452,1.9608,1.3204
406,13.532834,26,405.537,243.843,39.290,1.0000,0,0,396.444,225.279,20.672,35,65,1,0,0,3.8137,1.8080,1.2699
407,13.566166,26,408.309,245.901,39.772,1.0000,0,0,401.244,227.940,19.300,36,66,1,0,0,3.2094,1.6606,-0.6475
408,13.599498,26,410.210,249.462,38.144,1.0000,0,0,407.743,230.717,18.907,34,65,1,0,0,3.1039,1.7257,1.0452
409,13.632830,26,411.574,251.097,38.553,1.0000,0,0,415.040,234.033,17.413,38,65,1,0,0,3.8727,1.8294,-1.2991
410,13.666162,26,412.642,252.477,38.687,1.0000,0,0,419.791,240.060,14.328,30,65,1,0,0,3.4244,1.2998,-0.3852
411,13.699494,26,412.211,253.581,36.071,1.0000,0,0,424.477,243.883,15.637,33,65,1,0,0,3.6848,1.2991,-3.6489
412,13.732827,26,412.717,255.041,33.966,1.0000,0,0,425.401,244.052,16.782,38,65,1,0,0,3.8906,1.4778,-1.0559
413,13.766159,26,413.418,256.497,32.561,1.0000,0,0,425.494,244.802,16.811,35,64,1,0,0,3.6975,1.7060,0.0588
414,13.799491,26,414.290,257.872,31.413,1.0000,0,0,426.539,247.779,15.872,40,67,1,0,0,3.7266,1.2661,-2.4922
415,13.832823,26,416.471,256.544,32.096,1.0000,0,0,428.232,250.438,13.253,38,68,1,0,0,3.7694,1.0565,-4.2355
416,13.866155,26,420.021,250.582,29.392,1.0000,0,0,429.416,253.220,9.759,38,69,1,0,0,3.9809,1.1534,-0.2288
417,13.899487,26,423.249,246.399,27.648,1.0000,0,0,429.345,254.226,9.922,48,70,1,0,0,4.0965,1.0502,-1.3962
418,13.932819,26,425.934,243.761,26.677,1.0000,0,0,431.421,256.018,13.428,47,72,1,0,0,4.3925,0.8786,-0.6069
419,13.966151,26,428.601,241.846,26.177,1.0000,0,0,431.230,257.296,15.672,47,73,1,0,0,4.0897,0.8079,-4.7398
420,13.999483,26,431.317,240.004,25.931,1.0000,0,0,431.312,257.251,17.247,43,71,1,0,0,4.1706,0.5690,-1.5404
421,14.032815,26,433.681,244.231,30.888,1.0000,0,0,431.388,257.148,13.120,43,71,1,0,0,4.9968,0.5093,0.1925
